category,count,pct
too_many_companies,138,23.4
other,118,20.0
too_long,109,18.4
answer_options,58,9.8
add_companies,42,7.1
scale_issues,31,5.2
open_questions,30,5.1
ux_ui,26,4.4
structure,20,3.4
add_info,19,3.2
